"","PhytoDate","WQDate","StationCode","Month","Year","Latitude","Longitude","Genus","CarbonperML","AirTemp","Chla","Pheophytin","TotAmmonia","DissAmmonia","DissNitrateNitrite","DOC","TOC","DON","TON","DissOrthophos","TotPhos","DissSilica","TDS","TSS","TKN","Depth","Secchi","Microcystis","SpCndSurface","DOSurface","WTSurface"
"89",2011-06-10,2011-06-10,"D41",6,2011,38.03022,-122.3729,"Microcystis",0,NA,"2.23","0.76",NA,"0.09","0.26","0.7","0.7","0.2",NA,"0.06",0.09,"8.9",14590,"16","0.4",41.5,96,NA,23218,8.4,15.9
"90",2011-06-10,2011-06-10,"D41A",6,2011,38.08472,-122.3907,"Microcystis",0,NA,"1.88","3.79",NA,"0.08","0.19","1.3","1.8","0.2",NA,"0.05",0.19,"10.2",9530,"144","0.5",6.8,16,NA,16152,8.7,16.8
"91",2011-06-10,2011-06-10,"D6",6,2011,38.04436,-122.1177,"Microcystis",0,NA,"5.87","1.68",NA,"0.04","0.19","2.1","2.5","0.2",NA,"0.04",0.1,"13.5",1170,"41","0.3",33.9,28,NA,1930,9.1,18.3
"92",2011-07-05,2011-07-05,"C10A",7,2011,37.67934,-121.2647,"Microcystis",0,NA,"12.7","5.61",NA,"0.02","0.4","2.1","2.5","0.2",NA,"0.05",0.11,"10.5",101,"40","0.4",NA,NA,NA,168,7.4,22.1
"93",2011-07-05,2011-07-05,"C3A",7,2011,38.36771,-121.5205,"Microcystis",0,NA,"3.47","2.02",NA,"0.15","0.11","1.4","1.6","0.1",NA,"0.03",0.06,"15.5",68,"41","0.3",8.7,64,NA,121,7.8,20.8
"94",2011-07-06,2011-07-06,"D19",7,2011,38.04376,-121.6148,"Microcystis",0,NA,"1.78","1.06",NA,"0.02","0.11","1.5","1.6","0.1",NA,"0.03",0.05,"12.7",70,"4","0.2",14,152,NA,120,8,23.1
"95",2011-07-06,2011-07-06,"D28A",7,2011,37.97048,-121.573,"Microcystis",0,NA,"1.41","0.91",NA,"0.02","0.1","2.1","2.1","0.2",NA,"0.06",0.08,"10.9",78,"3","0.2",21.4,180,NA,141,7.4,25.3
"96",2011-07-07,2011-07-07,"D26",7,2011,38.07664,-121.5669,"Microcystis",0,NA,"1.22","0.81",NA,"0.05","0.16","1.6","1.7","0.2",NA,"0.04",0.06,"13",67,"5","0.3",36.1,128,NA,116,7.6,22.8
"97",2011-07-07,2011-07-07,"MD10A",7,2011,38.04226,-121.4199,"Microcystis",0,NA,"5.31","1.97",NA,"ND","0.07","3.1","3.2","0.2",NA,"0.09",0.12,"12.3",109,"4","0.3",9.8,108,NA,195,5.3,27.6
"98",2011-07-07,2011-07-07,"P8",7,2011,37.97817,-121.3823,"Microcystis",0,NA,"18.2","3.52",NA,"0.01","0.48","2.3","2.5","0.2",NA,"0.07",0.11,"10.5",128,"11","0.4",38.1,48,NA,232,8,24.2
